,condition,comprehension_q,wealthy_family_essential,educated_parents_essential,having_ambition_essential,hard_work_essential,talent_essential,luck_essential,connections_essential,good_education_essential,political_influence_essential,enough_opportunities,more_opportunities_than_parents,hard_work_brings_better_life,people_poor_because_laziness,high_earners_deserve_high,low_earners_deserve_low,ineq_serious_problem,poverty_serious_problem,unequal_hcare_serious_problem,ineq_increasing,govt_regulation_effective,govt_transfers_effective,progressive_taxes_effective,educ_policies_effective,private_charity_effective,govt_should_decrease_ineq,companies_should_decrease_ineq,who_most_responsible,is_resident,state,gender,age,married,has_children,race,religion,education,emp_status,occupation,household_income,subj_relative_income,income_volatile,sol_better_than_past,sol_better_in_future,liberal,political_party,follow_news,has_confidence_in_science,father_occ,mother_occ,father_educ,mother_educ,subj_relative_income_16_yrs,sol_better_than_parents,coronavirus_serious_threat,must_save_economy,satisfied_with_city,satisfied_with_state,satisfied_with_federal_govt,self_became_ill,family_member_became_ill,self_lost_income,family_member_lost_income,self_at_risk,family_member_at_risk,not_affected,affected_in_other_way,how_affected_by_coronavirus_other,days_out_in_past_week,opinion_q_DO,DS_regular_or_reverse,EO_regular_or_reverse,LHW_regular_or_reverse,ED_regular_or_reverse,ISP_regular_or_reverse,GT_regular_or_reverse,GMC_regular_or_reverse,Demog_end_regular_or_reverse,Parents_end_regular_or_reverse,Corona_regular_or_reverse,GMC.3_DO,DQ18_DO
143,corona_class_ineq,Coronavirus has affected minorities more so than other groups.,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,1,Ohio,1,41,1,1,1,2,6,4,"Currently unemployed, but was pricing specialist/estimator",10.0,4.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,Meteorologist in US AirForce,Stay at home mom and then executive assistant once dad retired,4,4,3.0,4.0,4.0,2.0,4.0,5.0,2.0,0,0,0,0,1,0,0,0,,6.0,"['private_charity_effective', 'educ_policies_effective', 'govt_regulation_effective', 'govt_transfers_effective', 'progressive_taxes_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities', '', 'wealthy_family_essential', 'good_education_essential', 'hard_work_essential', 'having_ambition_essential', 'political_influence_essential', 'luck_essential', 'connections_essential', 'educated_parents_essential', 'talent_essential', 'high_earners_deserve_high', 'low_earners_deserve_low']",DS_Reverse,EO,LHW_Reverse,ED,ISP_Reverse,GT,GMC_Reverse,Demographics_End,Parents_End,Coronavirus,Low income individuals themselves|Private charities|Government|High income individuals themselves|Major companies|Income differences do not need to be reduced,Republican|Democrat|Independent|None
148,corona_class_ineq,Disproportion of the pandemic ,2.0,3.0,5.0,5.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0,5.0,3.0,5.0,3.0,5.0,1,Michigan,2,31,0,0,1,2,6,1,Training manaher,8.0,4.0,2.0,3.0,3.0,4.0,2.0,5.0,2.0,Manager ,Stay at home ,6,4,4.0,2.0,4.0,3.0,4.0,5.0,2.0,0,0,0,0,0,1,0,0,,4.0,"['companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'private_charity_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'educ_policies_effective', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', '', 'connections_essential', 'talent_essential', 'luck_essential', 'having_ambition_essential', 'educated_parents_essential', 'hard_work_essential', 'political_influence_essential', 'wealthy_family_essential', 'good_education_essential', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'enough_opportunities', 'more_opportunities_than_parents', 'low_earners_deserve_low', 'high_earners_deserve_high']",DS,EO,LHW_Reverse,ED,ISP_Reverse,GT,GMC,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus_Reverse,High income individuals themselves|Major companies|Private charities|Government|Low income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
150,corona_natural_ineq,Covid 19 affecting elderly diabetics and anyone els,4.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,2.0,7.0,1.0,2.0,1.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,7.0,4.0,6.0,1,Kentucky,2,30,1,1,1,4,5,1,Nurse,6.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,Machanic ,Nurse,4,5,3.0,3.0,5.0,1.0,5.0,5.0,4.0,0,0,1,0,0,1,0,0,,3.0,"['govt_transfers_effective', 'educ_policies_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'private_charity_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'enough_opportunities', 'more_opportunities_than_parents', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', '', 'connections_essential', 'wealthy_family_essential', 'educated_parents_essential', 'political_influence_essential', 'luck_essential', 'having_ambition_essential', 'talent_essential', 'good_education_essential', 'hard_work_essential', 'high_earners_deserve_high', 'low_earners_deserve_low']",DS,EO_Reverse,LHW,ED,ISP_Reverse,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Low income individuals themselves|Major companies|Government|Private charities|High income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
152,corona_control,the climate change of the current world,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,5.0,5.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,6.0,6.0,1,South Carolina,1,41,1,1,1,4,7,1,cio,10.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,he is an automotive engeneer,none.,7,7,4.0,3.0,4.0,2.0,4.0,5.0,4.0,0,0,0,0,0,1,0,0,,5.0,"['hard_work_brings_better_life', 'people_poor_because_laziness', 'enough_opportunities', 'more_opportunities_than_parents', 'high_earners_deserve_high', 'low_earners_deserve_low', '', 'luck_essential', 'political_influence_essential', 'connections_essential', 'educated_parents_essential', 'hard_work_essential', 'talent_essential', 'good_education_essential', 'wealthy_family_essential', 'having_ambition_essential', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'educ_policies_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'private_charity_effective', 'govt_transfers_effective']",DS,EO,LHW_Reverse,ED_Reverse,ISP,GT,GMC,Demographics_End,Parents_End,Coronavirus_Reverse,Low income individuals themselves|Private charities|High income individuals themselves|Government|Major companies|Income differences do not need to be reduced,Democrat|Republican|Independent|None
153,corona_control,that's so good news for me,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,3.0,1,Virginia,1,44,1,1,1,6,7,1,Manager,10.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,3.0,Manager,Housewifes,7,7,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0,0,0,0,0,0,1,0,,2.0,"['', 'wealthy_family_essential', 'having_ambition_essential', 'good_education_essential', 'luck_essential', 'connections_essential', 'talent_essential', 'political_influence_essential', 'hard_work_essential', 'educated_parents_essential', 'more_opportunities_than_parents', 'enough_opportunities', 'high_earners_deserve_high', 'low_earners_deserve_low', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'private_charity_effective', 'govt_regulation_effective', 'govt_transfers_effective', 'educ_policies_effective', 'progressive_taxes_effective']",DS,EO_Reverse,LHW,ED,ISP,GT,GMC,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,High income individuals themselves|Private charities|Major companies|Government|Low income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
154,corona_natural_ineq,How COVID-19 affects the elderly and people who are immunocompromised differently then the rest of the population ,1.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,2.0,2.0,3.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,1,Texas,2,21,0,1,3,6,3,2,Customer Consultant ,5.0,3.0,1.0,5.0,5.0,4.0,3.0,4.0,3.0,Teacher,Nurse,6,6,3.0,3.0,5.0,1.0,4.0,4.0,4.0,0,0,0,0,1,0,0,0,,3.0,"['more_opportunities_than_parents', 'enough_opportunities', 'people_poor_because_laziness', 'hard_work_brings_better_life', '', 'talent_essential', 'luck_essential', 'connections_essential', 'political_influence_essential', 'educated_parents_essential', 'good_education_essential', 'hard_work_essential', 'wealthy_family_essential', 'having_ambition_essential', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'high_earners_deserve_high', 'low_earners_deserve_low', 'private_charity_effective', 'educ_policies_effective', 'govt_regulation_effective', 'govt_transfers_effective', 'progressive_taxes_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO,LHW,ED,ISP_Reverse,GT_Reverse,GMC,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Government|Major companies|Private charities|Low income individuals themselves|High income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
155,corona_class_ineq,How Covid-19 has disproportionally affected minority communities,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,1.0,6.0,2.0,3.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,7.0,7.0,6.0,1,Colorado,1,59,0,0,1,8,8,3,art dealer,7.0,3.0,2.0,2.0,5.0,4.0,2.0,5.0,3.0,manager,teacher,3,8,4.0,2.0,5.0,1.0,4.0,4.0,1.0,0,0,1,0,1,0,0,0,,1.0,"['high_earners_deserve_high', 'low_earners_deserve_low', '', 'political_influence_essential', 'having_ambition_essential', 'luck_essential', 'talent_essential', 'hard_work_essential', 'educated_parents_essential', 'wealthy_family_essential', 'connections_essential', 'good_education_essential', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'educ_policies_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'private_charity_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO,LHW_Reverse,ED_Reverse,ISP,GT_Reverse,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus_Reverse,High income individuals themselves|Major companies|Low income individuals themselves|Government|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
161,corona_class_ineq,highly effected and death with covid-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,1,New York,1,46,1,1,1,5,7,1,Manager,11.0,3.0,1.0,5.0,5.0,3.0,1.0,5.0,3.0,Teacher,Teacher,7,7,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,,1.0,"['more_opportunities_than_parents', 'enough_opportunities', 'low_earners_deserve_low', 'high_earners_deserve_high', '', 'good_education_essential', 'educated_parents_essential', 'wealthy_family_essential', 'political_influence_essential', 'having_ambition_essential', 'hard_work_essential', 'connections_essential', 'luck_essential', 'talent_essential', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'progressive_taxes_effective', 'govt_transfers_effective', 'educ_policies_effective', 'govt_regulation_effective', 'private_charity_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO_Reverse,LHW,ED_Reverse,ISP_Reverse,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End,Coronavirus_Reverse,Low income individuals themselves|High income individuals themselves|Government|Private charities|Major companies|Income differences do not need to be reduced,Democrat|Republican|Independent|None
163,corona_class_ineq,People of lower class are getting the cirus more. ,2.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,7.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,5.0,1,Florida,2,32,1,1,1,10,3,2,Housekeeper,5.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,Foreman,Carrier,4,2,4.0,4.0,4.0,2.0,2.0,1.0,1.0,0,0,1,0,0,0,0,0,,6.0,"['enough_opportunities', 'more_opportunities_than_parents', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'good_education_essential', 'having_ambition_essential', 'hard_work_essential', 'political_influence_essential', 'connections_essential', 'wealthy_family_essential', 'talent_essential', 'educated_parents_essential', 'luck_essential', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', 'low_earners_deserve_low', 'high_earners_deserve_high', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'govt_transfers_effective', 'private_charity_effective', 'educ_policies_effective', 'govt_regulation_effective', 'progressive_taxes_effective']",DS,EO,LHW_Reverse,ED,ISP,GT,GMC,Demographics_End,Parents_End_Reverse,Coronavirus,Government|Private charities|Low income individuals themselves|Major companies|High income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
165,corona_class_ineq,low incom pepole black an mscon,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,7.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,5.0,7.0,2.0,1,Florida,1,33,1,1,2,9,3,1,landscaper,5.0,3.0,1.0,4.0,5.0,5.0,2.0,4.0,2.0,repar man,being a mother,3,6,4.0,3.0,4.0,3.0,3.0,5.0,2.0,1,0,0,0,0,0,0,0,,6.0,"['enough_opportunities', 'more_opportunities_than_parents', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'poverty_serious_problem', 'ineq_increasing', '', 'having_ambition_essential', 'good_education_essential', 'luck_essential', 'wealthy_family_essential', 'educated_parents_essential', 'talent_essential', 'political_influence_essential', 'connections_essential', 'hard_work_essential', 'low_earners_deserve_low', 'high_earners_deserve_high', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'educ_policies_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'private_charity_effective', 'govt_transfers_effective']",DS_Reverse,EO_Reverse,LHW,ED,ISP,GT,GMC,Demographics_End_Reverse,Parents_End,Coronavirus,Private charities|High income individuals themselves|Low income individuals themselves|Major companies|Government|Income differences do not need to be reduced,Democrat|Republican|Independent|None
168,corona_control,The spread of the coronavirus ,1.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,7.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,5.0,5.0,1,West Virginia,1,55,1,1,1,10,3,6,None,7.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,Glass company,Post office,3,3,2.0,5.0,5.0,1.0,5.0,5.0,5.0,0,0,0,1,1,0,0,0,,6.0,"['educ_policies_effective', 'private_charity_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'govt_transfers_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', '', 'luck_essential', 'wealthy_family_essential', 'political_influence_essential', 'having_ambition_essential', 'educated_parents_essential', 'talent_essential', 'connections_essential', 'good_education_essential', 'hard_work_essential', 'enough_opportunities', 'more_opportunities_than_parents', 'high_earners_deserve_high', 'low_earners_deserve_low']",DS_Reverse,EO,LHW,ED,ISP_Reverse,GT_Reverse,GMC,Demographics_End_Reverse,Parents_End,Coronavirus_Reverse,Major companies|Private charities|High income individuals themselves|Low income individuals themselves|Government|Income differences do not need to be reduced,Democrat|Republican|Independent|None
169,corona_class_ineq,It was about how black and hispanic communities were being affected worse than other communities.,2.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,6.0,6.0,1,Alabama,1,19,0,0,2,2,3,2,Retail Associate,4.0,3.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,,Caregiver,3,6,2.0,4.0,4.0,2.0,4.0,4.0,4.0,0,0,0,0,0,0,1,0,,2.0,"['private_charity_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'educ_policies_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'enough_opportunities', 'more_opportunities_than_parents', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'high_earners_deserve_high', 'low_earners_deserve_low', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', '', 'having_ambition_essential', 'connections_essential', 'luck_essential', 'good_education_essential', 'political_influence_essential', 'educated_parents_essential', 'wealthy_family_essential', 'talent_essential', 'hard_work_essential']",DS,EO,LHW_Reverse,ED_Reverse,ISP,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Private charities|Low income individuals themselves|Government|Major companies|High income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
173,corona_class_ineq,"Black and Hispanics are greatly effected by the Corona Virus, more so than other ethnic communities",1.0,4.0,5.0,5.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,6.0,3.0,1,Texas,2,18,0,0,5,4,5,5,None,5.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,Bus driver,Homemaker,3,3,3.0,5.0,5.0,1.0,3.0,3.0,1.0,0,0,0,1,0,1,1,0,,1.0,"['', 'wealthy_family_essential', 'political_influence_essential', 'talent_essential', 'luck_essential', 'connections_essential', 'good_education_essential', 'educated_parents_essential', 'having_ambition_essential', 'hard_work_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities', 'progressive_taxes_effective', 'educ_policies_effective', 'govt_regulation_effective', 'private_charity_effective', 'govt_transfers_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO_Reverse,LHW_Reverse,ED_Reverse,ISP,GT,GMC,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Government|Major companies|Private charities|High income individuals themselves|Low income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
174,corona_class_ineq,Money,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,6.0,1,Florida,1,42,1,1,1,1,7,1,Full Employee,12.0,3.0,1.0,5.0,5.0,2.0,1.0,5.0,3.0,Full Time Employee,House wife,7,7,3.0,3.0,4.0,3.0,3.0,2.0,2.0,0,0,1,0,0,0,0,0,,2.0,"['private_charity_effective', 'educ_policies_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'govt_transfers_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'high_earners_deserve_high', 'low_earners_deserve_low', '', 'connections_essential', 'political_influence_essential', 'educated_parents_essential', 'wealthy_family_essential', 'hard_work_essential', 'luck_essential', 'having_ambition_essential', 'good_education_essential', 'talent_essential', 'more_opportunities_than_parents', 'enough_opportunities', 'poverty_serious_problem', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing']",DS,EO_Reverse,LHW_Reverse,ED_Reverse,ISP,GT,GMC,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Low income individuals themselves|Government|Private charities|Major companies|High income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
175,corona_natural_ineq,corona virus affecting older people and ones with health issues worse,5.0,3.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,2.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,7.0,7.0,3.0,1,Kentucky,2,52,1,0,1,4,2,6,ousewif,3.0,1.0,1.0,4.0,4.0,5.0,2.0,5.0,2.0,farnmer,baby sier,10,3,2.0,3.0,5.0,1.0,5.0,5.0,1.0,0,0,0,0,0,0,1,0,,7.0,"['educ_policies_effective', 'govt_transfers_effective', 'private_charity_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'enough_opportunities', 'more_opportunities_than_parents', '', 'wealthy_family_essential', 'connections_essential', 'having_ambition_essential', 'good_education_essential', 'political_influence_essential', 'hard_work_essential', 'luck_essential', 'talent_essential', 'educated_parents_essential', 'low_earners_deserve_low', 'high_earners_deserve_high']",DS,EO_Reverse,LHW,ED,ISP_Reverse,GT,GMC_Reverse,Demographics_End,Parents_End,Coronavirus,High income individuals themselves|Government|Major companies|Private charities|Low income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
176,corona_control,Covid-19 has changed the world globally,1.0,4.0,5.0,5.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1,Indiana,2,27,1,1,1,4,4,6,Stay at home parent,8.0,4.0,2.0,5.0,5.0,1.0,1.0,4.0,1.0,Business owner,Stay at home parent,1,1,1.0,3.0,2.0,5.0,3.0,3.0,2.0,0,0,0,1,0,0,0,0,,5.0,"['govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'educ_policies_effective', 'private_charity_effective', 'govt_transfers_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', '', 'educated_parents_essential', 'political_influence_essential', 'luck_essential', 'connections_essential', 'talent_essential', 'good_education_essential', 'wealthy_family_essential', 'hard_work_essential', 'having_ambition_essential', 'low_earners_deserve_low', 'high_earners_deserve_high', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'more_opportunities_than_parents', 'enough_opportunities']",DS_Reverse,EO,LHW,ED,ISP,GT_Reverse,GMC,Demographics_End,Parents_End_Reverse,Coronavirus,High income individuals themselves|Government|Low income individuals themselves|Major companies|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
177,corona_control,It was about the coronavirus and how it has spread around the world.,3.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,1,Washington,2,48,0,0,1,1,7,1,Education,7.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,Farmer,Teacher,4,7,3.0,4.0,3.0,1.0,4.0,4.0,1.0,0,0,0,0,0,0,0,1,I have experienced about a 25% pay cut but am healthy and able to pay all my expenses.,4.0,"['educ_policies_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'private_charity_effective', 'govt_transfers_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'high_earners_deserve_high', 'low_earners_deserve_low', '', 'talent_essential', 'connections_essential', 'luck_essential', 'having_ambition_essential', 'hard_work_essential', 'political_influence_essential', 'good_education_essential', 'educated_parents_essential', 'wealthy_family_essential']",DS,EO,LHW_Reverse,ED,ISP_Reverse,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus,Government|Low income individuals themselves|High income individuals themselves|Major companies|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
178,corona_control,"It was about how the coronavirus has impacted the entire world regardless of race, sex or background.",1.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,6.0,4.0,1.0,3.0,4.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,7.0,3.0,1,California,2,69,0,0,1,2,5,6,Retired,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,Carpenter,County employee,3,5,3.0,2.0,1.0,5.0,1.0,1.0,3.0,0,0,0,1,0,1,1,0,,2.0,"['govt_regulation_effective', 'progressive_taxes_effective', 'private_charity_effective', 'govt_transfers_effective', 'educ_policies_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'high_earners_deserve_high', 'low_earners_deserve_low', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', '', 'having_ambition_essential', 'educated_parents_essential', 'wealthy_family_essential', 'hard_work_essential', 'luck_essential', 'good_education_essential', 'connections_essential', 'talent_essential', 'political_influence_essential', 'more_opportunities_than_parents', 'enough_opportunities', 'people_poor_because_laziness', 'hard_work_brings_better_life']",DS,EO,LHW,ED_Reverse,ISP_Reverse,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus_Reverse,Low income individuals themselves|Major companies|High income individuals themselves|Government|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
