,condition,ineq_condition,mobil_condition,ineq_quiz_ans,mobil_quiz_ans,exp_display_order,income_result_of_circumstances,equal_outcomes,govt_should_take_active_steps,ineq_is_a_serious_problem,how_to_fix_ineq_1st_choice,how_to_fix_ineq_2nd_choice,how_to_fix_ineq_3rd_choice,how_to_fix_ineq_4th_choice,how_to_fix_ineq_5th_choice,how_to_fix_ineq_text,high_earners_rarely_deserving,increase_taxes_on_millionares,increase_estate_tax,increase_min_wage,increase_aid_to_poor,increase_food_stamps,support_entrepreneurs,support_housing,outcome_display_order,gap_btw_rich_and_poor_increasing,children_have_worse_chances,mc_display_order,is_us_resident,state,gender,age,marital_status,has_children,race,education,employment_status,income,intergen_mobility_down,intragen_mobility_down,income_volatility,liberal_vs_conservative,democrat_vs_republican
12,incr_ineq_incr_mobil,1.0,0.0,1,3,"['mobil', 'ineq']",0,1,5,5,1,3,2,4,5,Less taxes for the poor ,3,3,3,3,3,4,0,1,"['increase_estate_tax', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'income_result_of_circumstances', 'govt_should_take_active_steps', 'equal_outcomes', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_food_stamps', 'increase_aid_to_poor', 'increase_min_wage', 'support_entrepreneurs', 'support_housing']",1,2,"['mobil_mc', 'ineq_mc']",1,Idaho,3,28,1,1,3,3,1,3,5,5,1,5,2
13,decr_ineq_decr_mobil,0.0,1.0,3,3,"['ineq', 'mobil']",1,0,4,3,1,2,3,5,4,I'm not really sure. Increasing minimum wage is a start. ,2,3,1,3,4,4,1,1,"['increase_min_wage', 'support_entrepreneurs', 'increase_food_stamps', 'increase_aid_to_poor', 'support_housing', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'equal_outcomes', 'income_result_of_circumstances', 'govt_should_take_active_steps', 'increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving']",2,3,"['mobil_mc', 'ineq_mc']",1,Connecticut,3,30,1,1,1,6,6,5,4,3,1,3,3
14,incr_ineq_incr_mobil,1.0,0.0,3,3,"['ineq', 'mobil']",1,0,5,5,1,3,2,4,5,Tax the rich more leave the poor alone give them a chance,3,3,1,3,5,5,1,1,"['increase_aid_to_poor', 'support_entrepreneurs', 'increase_food_stamps', 'support_housing', 'increase_min_wage', 'increase_estate_tax', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes']",3,1,"['mobil_mc', 'ineq_mc']",1,Washington,3,24,1,1,5,2,6,5,3,1,1,2,1
15,decr_ineq_incr_mobil,0.0,0.0,1,2,"['mobil', 'ineq']",1,0,5,3,3,1,4,2,5,I think really needs to budget finances more accurately in order to provide substantial equality for all americans.,2,3,2,3,3,4,1,1,"['support_housing', 'support_entrepreneurs', 'increase_min_wage', 'increase_food_stamps', 'increase_aid_to_poor', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax']",3,1,"['ineq_mc', 'mobil_mc']",1,California,3,30,1,1,3,3,4,5,1,1,1,3,3
16,decr_ineq_decr_mobil,0.0,1.0,3,2,"['ineq', 'mobil']",1,0,3,4,2,1,4,3,5,Make regulations for corporations about disperity.,2,3,1,2,2,1,1,1,"['ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'income_result_of_circumstances', 'equal_outcomes', 'govt_should_take_active_steps', 'high_earners_rarely_deserving', 'increase_estate_tax', 'increase_taxes_on_millionares', 'increase_aid_to_poor', 'support_housing', 'support_entrepreneurs', 'increase_min_wage', 'increase_food_stamps']",3,2,"['ineq_mc', 'mobil_mc']",1,Pennsylvania,3,41,0,0,2,7,1,5,3,4,1,2,1
17,decr_ineq_decr_mobil,0.0,1.0,1,3,"['mobil', 'ineq']",1,1,3,3,4,1,2,5,3,Nothing,2,3,1,3,5,5,1,1,"['govt_should_take_active_steps', 'equal_outcomes', 'income_result_of_circumstances', 'increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_min_wage', 'support_entrepreneurs', 'support_housing', 'increase_aid_to_poor', 'increase_food_stamps']",3,3,"['ineq_mc', 'mobil_mc']",1,Wisconsin,3,34,0,1,5,3,4,1,4,4,1,3,3
18,decr_ineq_incr_mobil,0.0,0.0,3,1,"['mobil', 'ineq']",0,0,3,5,2,3,1,4,5,They canmake more equalopportunities.,2,3,2,3,5,4,1,1,"['increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'income_result_of_circumstances', 'govt_should_take_active_steps', 'equal_outcomes', 'increase_min_wage', 'support_entrepreneurs', 'increase_food_stamps', 'support_housing', 'increase_aid_to_poor', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",3,1,"['mobil_mc', 'ineq_mc']",1,Pennsylvania,3,50,1,0,1,4,2,4,2,3,1,4,2
19,incr_ineq_decr_mobil,1.0,1.0,2,1,"['mobil', 'ineq']",0,1,3,2,3,1,2,4,5,"Make sure everyone has equal opportunities for jobs, healthcare, and affordable housing, and have access to affordable food and clean water",2,3,1,2,4,3,1,1,"['high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'equal_outcomes', 'income_result_of_circumstances', 'govt_should_take_active_steps', 'support_housing', 'support_entrepreneurs', 'increase_min_wage', 'increase_food_stamps', 'increase_aid_to_poor', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",3,3,"['ineq_mc', 'mobil_mc']",1,Massachusetts,3,47,0,0,1,3,6,4,5,3,1,1,3
20,incr_ineq_decr_mobil,1.0,1.0,1,3,"['mobil', 'ineq']",1,0,1,5,2,1,3,4,5,Thw government is part of the problem,3,2,1,3,4,3,1,1,"['ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'govt_should_take_active_steps', 'equal_outcomes', 'income_result_of_circumstances', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'support_entrepreneurs', 'increase_aid_to_poor', 'support_housing', 'increase_food_stamps', 'increase_min_wage']",3,3,"['mobil_mc', 'ineq_mc']",1,Pennsylvania,3,38,1,1,1,4,6,7,5,3,2,2,3
21,decr_ineq_incr_mobil,0.0,0.0,1,1,"['mobil', 'ineq']",1,0,2,3,1,3,2,5,4,Make higher education more affordable,2,3,1,3,3,3,1,1,"['increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'increase_estate_tax', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'income_result_of_circumstances', 'equal_outcomes', 'govt_should_take_active_steps', 'increase_food_stamps', 'support_entrepreneurs', 'support_housing', 'increase_min_wage', 'increase_aid_to_poor']",1,1,"['mobil_mc', 'ineq_mc']",1,Tennessee,3,26,0,1,1,4,3,4,2,2,1,4,2
22,incr_ineq_decr_mobil,1.0,1.0,3,3,"['ineq', 'mobil']",1,0,3,3,1,2,4,3,5,Not sure..maybe offer more opportunities to educate and more job training opportunities. ,2,3,1,3,4,4,1,1,"['high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'equal_outcomes', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_food_stamps', 'increase_aid_to_poor', 'support_entrepreneurs', 'increase_min_wage', 'support_housing']",3,3,"['mobil_mc', 'ineq_mc']",1,Indiana,3,45,1,1,1,5,1,7,4,2,1,3,1
23,incr_ineq_incr_mobil,1.0,0.0,3,1,"['ineq', 'mobil']",0,1,5,5,4,1,3,5,2,Nothing to say,1,3,3,3,5,4,1,1,"['increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'support_entrepreneurs', 'increase_aid_to_poor', 'increase_food_stamps', 'support_housing', 'increase_min_wage', 'income_result_of_circumstances', 'equal_outcomes', 'govt_should_take_active_steps', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",2,1,"['ineq_mc', 'mobil_mc']",1,Michigan,3,52,0,0,1,2,4,7,3,3,1,4,2
24,incr_ineq_incr_mobil,1.0,0.0,3,3,"['ineq', 'mobil']",1,0,4,3,2,1,3,4,5,Provide more jobs,1,2,2,3,5,5,1,1,"['high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'equal_outcomes', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_food_stamps', 'support_housing', 'increase_min_wage', 'increase_aid_to_poor', 'support_entrepreneurs']",3,1,"['mobil_mc', 'ineq_mc']",1,California,3,57,0,0,1,3,6,2,4,1,1,2,1
25,incr_ineq_decr_mobil,1.0,1.0,3,3,"['mobil', 'ineq']",1,1,5,5,4,2,3,5,1,"During post-WW2 era, the top-tier federal income tax rate was 90% in the 40s and never dropped below 70% until the mid-1980s. That era also happened to be a time of massive growth and the American middle class blossomed. That speaks for itself. ",2,3,3,3,5,5,1,1,"['increase_aid_to_poor', 'support_entrepreneurs', 'increase_min_wage', 'support_housing', 'increase_food_stamps', 'govt_should_take_active_steps', 'equal_outcomes', 'income_result_of_circumstances', 'increase_estate_tax', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",3,3,"['ineq_mc', 'mobil_mc']",1,Pennsylvania,3,46,0,1,5,4,6,3,5,5,1,5,3
26,decr_ineq_decr_mobil,0.0,1.0,2,2,"['ineq', 'mobil']",0,0,3,2,1,3,2,4,5,Ok,2,2,2,2,4,4,1,1,"['increase_aid_to_poor', 'support_entrepreneurs', 'increase_min_wage', 'support_housing', 'increase_food_stamps', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_estate_tax', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares']",2,2,"['ineq_mc', 'mobil_mc']",1,California,3,32,0,1,4,5,1,5,3,2,2,3,1
27,incr_ineq_incr_mobil,1.0,0.0,3,2,"['mobil', 'ineq']",0,1,5,5,3,2,1,4,5,Rich folks pay their taxes like e erybody else,3,3,2,3,5,4,1,1,"['ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'equal_outcomes', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'support_housing', 'support_entrepreneurs', 'increase_min_wage', 'increase_food_stamps', 'increase_aid_to_poor']",3,2,"['ineq_mc', 'mobil_mc']",1,Missouri,3,60,0,0,1,3,3,4,3,2,2,3,2
28,decr_ineq_incr_mobil,0.0,0.0,3,2,"['ineq', 'mobil']",1,0,5,3,5,2,1,3,4,More help to the lier classes,2,3,1,3,4,4,1,1,"['increase_aid_to_poor', 'increase_min_wage', 'support_housing', 'support_entrepreneurs', 'increase_food_stamps', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'equal_outcomes', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'high_earners_rarely_deserving', 'increase_estate_tax', 'increase_taxes_on_millionares']",3,3,"['mobil_mc', 'ineq_mc']",1,Alabama,3,36,0,1,1,5,4,5,4,4,1,4,2
29,incr_ineq_decr_mobil,1.0,1.0,3,3,"['ineq', 'mobil']",1,1,5,4,2,1,3,4,5,The government could raise the minimum wage and invest more in education starting in elementary school. ,2,3,2,3,4,4,1,1,"['high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'equal_outcomes', 'income_result_of_circumstances', 'govt_should_take_active_steps', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_aid_to_poor', 'increase_min_wage', 'support_housing', 'increase_food_stamps', 'support_entrepreneurs']",3,3,"['mobil_mc', 'ineq_mc']",1,Iowa,3,26,0,0,4,6,5,3,4,3,1,4,2
30,incr_ineq_decr_mobil,1.0,1.0,3,3,"['ineq', 'mobil']",1,0,4,3,1,2,3,5,4,Raise taxes on those who are wealthy,1,3,2,3,4,4,1,1,"['increase_min_wage', 'increase_aid_to_poor', 'support_entrepreneurs', 'increase_food_stamps', 'support_housing', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",2,3,"['ineq_mc', 'mobil_mc']",1,Maryland,3,20,0,1,2,4,5,11,2,3,1,3,3
31,incr_ineq_incr_mobil,1.0,0.0,1,3,"['mobil', 'ineq']",0,0,5,5,4,2,1,3,5,None,1,3,1,1,5,5,1,1,"['high_earners_rarely_deserving', 'increase_estate_tax', 'increase_taxes_on_millionares', 'income_result_of_circumstances', 'equal_outcomes', 'govt_should_take_active_steps', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_food_stamps', 'increase_aid_to_poor', 'support_entrepreneurs', 'support_housing', 'increase_min_wage']",3,1,"['mobil_mc', 'ineq_mc']",1,Illinois,3,29,1,1,1,9,1,12,1,1,1,3,2
32,decr_ineq_incr_mobil,0.0,0.0,2,1,"['ineq', 'mobil']",1,0,4,2,2,1,3,5,4,Allow everyone the same opportunity,3,3,1,3,4,3,1,1,"['income_result_of_circumstances', 'equal_outcomes', 'govt_should_take_active_steps', 'increase_taxes_on_millionares', 'increase_estate_tax', 'high_earners_rarely_deserving', 'support_entrepreneurs', 'increase_aid_to_poor', 'increase_min_wage', 'increase_food_stamps', 'support_housing', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",3,1,"['ineq_mc', 'mobil_mc']",1,Alabama,3,35,1,1,1,7,4,5,2,3,1,3,2
33,decr_ineq_incr_mobil,0.0,0.0,1,3,"['mobil', 'ineq']",0,0,1,2,2,4,5,1,3,It isn't the governments place to fix inequality in my opinion,1,1,1,2,1,1,0,0,"['support_entrepreneurs', 'support_housing', 'increase_min_wage', 'increase_food_stamps', 'increase_aid_to_poor', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving']",2,2,"['mobil_mc', 'ineq_mc']",1,Virginia,3,44,1,1,1,4,6,8,3,3,1,2,3
34,decr_ineq_incr_mobil,0.0,0.0,1,3,"['ineq', 'mobil']",1,0,4,2,1,2,3,4,5,I’m really not sure because I don’t know much about the government ,2,2,1,2,3,4,1,0,"['equal_outcomes', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'increase_min_wage', 'support_entrepreneurs', 'support_housing', 'increase_food_stamps', 'increase_aid_to_poor', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",2,2,"['ineq_mc', 'mobil_mc']",1,Indiana,3,22,0,1,1,4,6,5,5,5,2,4,2
35,incr_ineq_incr_mobil,1.0,0.0,1,1,"['ineq', 'mobil']",0,0,3,2,1,2,3,4,5,Not sure,2,3,1,3,4,3,1,1,"['ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'income_result_of_circumstances', 'equal_outcomes', 'govt_should_take_active_steps', 'high_earners_rarely_deserving', 'increase_estate_tax', 'increase_taxes_on_millionares', 'increase_min_wage', 'support_entrepreneurs', 'increase_food_stamps', 'increase_aid_to_poor', 'support_housing']",2,1,"['mobil_mc', 'ineq_mc']",1,Georgia,3,33,0,1,1,6,1,5,2,2,1,3,1
36,decr_ineq_decr_mobil,0.0,1.0,1,3,"['ineq', 'mobil']",0,0,2,3,2,4,1,3,5,The government already has full control of inequality in the United States,2,2,2,3,5,5,1,1,"['equal_outcomes', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'high_earners_rarely_deserving', 'increase_estate_tax', 'increase_taxes_on_millionares', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'support_housing', 'increase_min_wage', 'support_entrepreneurs', 'increase_aid_to_poor', 'increase_food_stamps']",2,1,"['ineq_mc', 'mobil_mc']",1,Virginia,3,46,1,0,2,6,3,9,1,1,2,2,2
37,incr_ineq_decr_mobil,1.0,1.0,3,3,"['ineq', 'mobil']",1,0,5,5,5,2,1,3,4,They need to impeach Trump,3,3,1,3,5,5,0,1,"['increase_food_stamps', 'support_entrepreneurs', 'increase_min_wage', 'increase_aid_to_poor', 'support_housing', 'equal_outcomes', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax']",1,3,"['mobil_mc', 'ineq_mc']",1,California,3,39,1,1,1,3,2,1,3,2,1,5,2
38,decr_ineq_incr_mobil,0.0,0.0,2,1,"['mobil', 'ineq']",1,0,4,2,3,1,2,4,5,The government don't need to do anything inequality in America has lowered in the past years.,2,2,2,3,4,4,1,1,"['increase_taxes_on_millionares', 'increase_estate_tax', 'high_earners_rarely_deserving', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'increase_min_wage', 'support_housing', 'increase_aid_to_poor', 'increase_food_stamps', 'support_entrepreneurs']",2,1,"['mobil_mc', 'ineq_mc']",1,Kentucky,3,26,1,0,1,4,4,4,2,1,2,3,1
39,decr_ineq_decr_mobil,0.0,1.0,1,2,"['ineq', 'mobil']",0,0,1,2,3,1,4,2,5,Better job ,1,2,2,2,5,4,1,1,"['ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_taxes_on_millionares', 'increase_estate_tax', 'high_earners_rarely_deserving', 'support_entrepreneurs', 'increase_min_wage', 'increase_food_stamps', 'increase_aid_to_poor', 'support_housing', 'income_result_of_circumstances', 'govt_should_take_active_steps', 'equal_outcomes']",1,1,"['ineq_mc', 'mobil_mc']",1,South Carolina,3,34,0,0,2,3,2,1,2,3,2,1,1
